Logging to ./logs_8ch\20260307_141914.log
Variant: 8-channel (BFS channels ON)  |  model=./model_8ch  data=./data_8ch
Resuming from cycle 29

==================== Cycle  29  [14:19:14] ====================
[resume] self-play checkpoint found: 40/300 games already done

Self-play 41/300  W:24  D:0  L:17
Self-play 42/300  W:25  D:0  L:17
Self-play 43/300  W:26  D:0  L:17
Self-play 44/300  W:27  D:0  L:17
Self-play 45/300  W:27  D:0  L:18
Self-play 46/300  W:28  D:0  L:18
Self-play 47/300  W:28  D:0  L:19
Self-play 48/300  W:29  D:0  L:19
Self-play 49/300  W:30  D:0  L:19
Self-play 50/300  W:31  D:0  L:19
Self-play 51/300  W:31  D:0  L:20
Self-play 52/300  W:31  D:0  L:21
Self-play 53/300  W:31  D:0  L:22
Self-play 54/300  W:32  D:0  L:22
Self-play 55/300  W:33  D:0  L:22
Self-play 56/300  W:34  D:0  L:22
Self-play 57/300  W:34  D:0  L:23
Self-play 58/300  W:35  D:0  L:23
Self-play 59/300  W:36  D:0  L:23
Self-play 60/300  W:37  D:0  L:23
Self-play 61/300  W:38  D:0  L:23
Self-play 62/300  W:38  D:0  L:24
Self-play 63/300  W:39  D:0  L:24
Self-play 64/300  W:40  D:0  L:24
Self-play 65/300  W:41  D:0  L:24
Self-play 66/300  W:42  D:0  L:24
Self-play 67/300  W:42  D:0  L:25
Self-play 68/300  W:43  D:0  L:25
Self-play 69/300  W:43  D:0  L:26
Self-play 70/300  W:43  D:0  L:27
Self-play 71/300  W:44  D:0  L:27
Self-play 72/300  W:45  D:0  L:27
Self-play 73/300  W:46  D:0  L:27
Self-play 74/300  W:47  D:0  L:27
Self-play 75/300  W:47  D:0  L:28
Self-play 76/300  W:47  D:0  L:29
Self-play 77/300  W:47  D:0  L:30
Self-play 78/300  W:48  D:0  L:30
Self-play 79/300  W:49  D:0  L:30
Self-play 80/300  W:50  D:0  L:30
Self-play 81/300  W:51  D:0  L:30
Self-play 82/300  W:52  D:0  L:30
Self-play 83/300  W:53  D:0  L:30
Self-play 84/300  W:54  D:0  L:30
Self-play 85/300  W:55  D:0  L:30
Self-play 86/300  W:55  D:0  L:31
Self-play 87/300  W:55  D:0  L:32
Self-play 88/300  W:56  D:0  L:32
Self-play 89/300  W:57  D:0  L:32
Self-play 90/300  W:58  D:0  L:32
Self-play 91/300  W:58  D:0  L:33
Self-play 92/300  W:59  D:0  L:33
Self-play 93/300  W:60  D:0  L:33
Self-play 94/300  W:60  D:0  L:34
Self-play 95/300  W:60  D:0  L:35
Self-play 96/300  W:60  D:0  L:36
Self-play 97/300  W:60  D:0  L:37
Self-play 98/300  W:60  D:0  L:38
Self-play 99/300  W:60  D:0  L:39
Self-play 100/300  W:61  D:0  L:39
Self-play 101/300  W:61  D:0  L:40
Self-play 102/300  W:62  D:0  L:40
Self-play 103/300  W:63  D:0  L:40
Self-play 104/300  W:64  D:0  L:40
Self-play 105/300  W:65  D:0  L:40
Self-play 106/300  W:65  D:0  L:41
Self-play 107/300  W:66  D:0  L:41
Self-play 108/300  W:66  D:0  L:42
Self-play 109/300  W:66  D:0  L:43
Self-play 110/300  W:66  D:0  L:44
Self-play 111/300  W:67  D:0  L:44
Self-play 112/300  W:67  D:0  L:45
Self-play 113/300  W:67  D:0  L:46
Self-play 114/300  W:67  D:0  L:47
Self-play 115/300  W:67  D:0  L:48
Self-play 116/300  W:67  D:0  L:49
Self-play 117/300  W:67  D:0  L:50
Self-play 118/300  W:67  D:0  L:51
Self-play 119/300  W:68  D:0  L:51
Self-play 120/300  W:69  D:0  L:51
Self-play 121/300  W:69  D:0  L:52
