cycle,timestamp,sp_W_pct,sp_D_pct,sp_L_pct,sp_positions,sp_unique,sp_entropy,sp_top1,sp_avg_game_len,sp_avg_walls,sp_resign_pct,sp_false_resign,loss,loss_policy,loss_value,eval_score,promoted,en_entropy,en_unique,en_top1,vs_random,vs_greedy,vs_bfs,t_selfplay_min,t_train_min,t_evalnet_min,t_evalbest_min,t_cycle_min
5,19:12:03,57.5,6.0,36.5,5311,180,7.43,4,26.6,9.3,,,1.0913,0.9712,0.1201,1.0,1,,,,,0.5,0.5,41.3,6.0,5.1,1.4,53.7
6,20:05:48,75.5,4.0,20.5,4312,156,7.06,9,21.6,6.8,,,1.0816,0.9517,0.1299,0.55,1,,,,,1.0,1.0,33.7,5.2,9.9,1.4,50.2
7,20:55:59,32.5,1.5,66.0,3971,170,7.14,13,19.9,6.1,,,1.0912,0.9434,0.1477,0.9,1,,,,,1.0,1.0,31.8,5.0,5.9,1.4,44.1
8,23:27:37,37.0,1.0,62.0,3422,172,7.27,10,17.1,5.1,,,1.1215,0.962,0.1595,0.7,1,,,,,1.0,1.0,17.4,4.2,7.7,1.4,30.7
9,23:58:21,26.5,2.5,71.0,3951,134,6.77,6,19.8,5.9,,,1.1135,0.9365,0.177,0.725,1,,,,,1.0,1.0,32.5,4.1,10.3,1.6,48.5
10,00:58:32,35.5,2.0,62.5,3645,156,6.95,17,18.2,5.3,,,1.1111,0.9329,0.1783,0.8375,1,,,,,1.0,1.0,28.4,4.0,10.7,1.4,44.5
11,01:43:01,36.0,5.5,58.5,3800,155,7.08,7,19.0,5.4,,,1.0771,0.8976,0.1796,1.0,1,,,,,1.0,1.0,31.4,4.1,11.9,1.6,48.9
12,02:31:57,78.0,5.5,16.5,3808,122,5.9,42,19.0,5.3,,,1.0055,0.8233,0.1823,0.9,1,,,,,1.0,1.0,30.1,4.5,9.8,1.4,45.8
13,03:17:47,75.5,6.5,18.0,3748,122,5.74,57,18.7,5.2,,,0.9864,0.7967,0.1898,0.975,1,,,,,1.0,1.0,30.1,4.4,8.3,1.9,44.7
14,04:02:31,83.5,3.5,13.0,3158,134,6.18,45,15.8,4.5,,,0.9842,0.7905,0.1936,0.35,0,,,,,,,25.5,4.3,9.1,0.0,38.9
15,04:41:24,82.0,4.5,13.5,3316,127,6.01,48,16.6,4.6,,,0.9637,0.7773,0.1864,0.175,0,,,,,,,26.3,4.1,10.1,0.0,40.4
16,05:21:48,82.0,5.5,12.5,3335,117,5.6,59,16.7,4.7,,,0.9585,0.7779,0.1805,1.0,1,,,,,1.0,1.0,27.0,3.9,12.1,1.3,44.4
17,06:06:09,83.5,5.0,11.5,3353,126,6.0,45,16.8,4.5,,,0.9442,0.771,0.1731,0.25,0,,,,,,,26.7,3.9,10.8,0.0,41.5
18,06:47:37,84.5,6.5,9.0,3496,129,6.05,46,17.5,4.8,,,0.9301,0.7566,0.1735,0.6875,1,,,,,1.0,1.0,27.5,4.1,11.3,2.3,45.1
19,07:32:44,78.5,2.5,19.0,4027,153,7.0,11,20.1,6.2,,,0.9173,0.762,0.1552,0.5,1,,,,,1.0,1.0,31.8,4.2,11.5,1.5,48.9
